Id,Title,Genres,Popularity,Release Date,Original Language,Vote Average,Vote Count,Overview
578060,Vikram,['Action'],1.4,1986-05-23,te,7.0,1,"Vikram is a 1986 Telugu film directed by V. Madhusudhana Rao, produced by Akkineni Venkat under the Annapurna Studios banner. Akkineni Nagarjuna and Sobhana played the lead roles and the music was composed by Chakravarthy. The film was a remake of the Hindi film Hero (1983) and it is the first debut of Akkineni Nagarjuna as a hero. The film was recorded as a Hit at the box office."
599925,Shershaah,"['Action', 'Drama', 'Thriller', 'War']",5.997,2021-08-12,hi,7.266,62,"Inspired by the life of Captain Vikram Batra (PVC), the film celebrates his bravery, valiant spirit and honors his invaluable sacrifice during the Kargil War of 1999, at the age of 24."
412862,Ratsasan,"['Action', 'Thriller', 'Crime']",9.042,2018-10-05,ta,7.537,121,"A serial killer is murdering school girls, and a newbie cop has to track him down before the victim count increases."
447365,Guardians of the Galaxy Vol. 3,"['Science Fiction', 'Adventure', 'Action']",3135.553,2023-05-03,en,8.148,2619,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them."
89,Indiana Jones and the Last Crusade,"['Adventure', 'Action']",119.096,1989-05-24,en,7.843,9050,"In 1938, an art collector appeals to eminent archaeologist Dr. Indiana Jones to embark on a search for the Holy Grail. Indy learns that a medieval historian has vanished while searching for it, and the missing man is his own father, Dr. Henry Jones Sr.. He sets out to rescue his father by following clues in the old man's notebook, which his father had mailed to him before he went missing. Indy arrives in Venice, where he enlists the help of a beautiful academic, Dr. Elsa Schneider, along with Marcus Brody and Sallah. Together they must stop the Nazis from recovering the power of eternal life and taking over the world!"
634649,Spider-Man: No Way Home,"['Action', 'Adventure', 'Science Fiction']",351.981,2021-12-15,en,7.991,17778,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man."
329,Jurassic Park,"['Adventure', 'Science Fiction']",24.594,1993-06-11,en,7.936,14850,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape."
272,Batman Begins,"['Action', 'Crime', 'Drama']",55.892,2005-06-10,en,7.697,19205,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman."
530915,1917,"['War', 'Drama', 'History']",114.431,2019-12-25,en,7.988,11171,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers."
24,Kill Bill: Vol. 1,"['Action', 'Crime']",30.39,2003-10-10,en,7.97,15923,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle â€“ but she lives to plot her vengeance."
562,Die Hard,"['Action', 'Thriller']",88.427,1988-07-15,en,7.77,10003,"NYPD cop John McClane's plan to reconcile with his estranged wife is thrown for a serious loop when, minutes after he arrives at her office, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down."
752,V for Vendetta,"['Action', 'Thriller', 'Science Fiction']",29.2,2006-02-23,en,7.899,13344,"In a world in which Great Britain has become a fascist state, a masked vigilante known only as â€œVâ€ conducts guerrilla warfare against the oppressive British government. When V rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of Britain."
635302,Kimetsu no Yaiba: Mugen Ressha-Hen,"['Action', 'Animation', 'Adventure', 'Fantasy', 'Thriller']",147.295,2020-10-16,ja,8.258,3254,"Tanjiro Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyojuro Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!"
635736,Ran,[],0.6,2018-06-06,he,0.0,0,"The movie follows Ran's journey, whose main desire is to fulfill his potential. He is ready to deal with difficult experiences of not being accepted by his family and friends, physical and emotional changes, and even dangers to his health, but he is not willing to give up on himself and his happiness."
350312,Baahubali 2: The Conclusion,"['Action', 'Adventure', 'Fantasy']",25.45,2017-04-27,te,7.402,626,"When Mahendra, the son of BÄhubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom."
117691,Gangs of Wasseypur,"['Action', 'Thriller', 'Crime']",12.198,2012-06-22,hi,7.1,313,"In 1970s India, a young man vows to take revenge on the man who killed his father decades earlier."
628601,YÃ´jinbÃ´,['Drama'],0.6,1989-05-10,en,10.0,1,"After witnessing his chief retainerâ€™s plot to murder their lord, Matahachiro fled to lose himself in Edoâ€™s crowded streets. By day he sells his sword skills to the highest bidder. By night he fights for his life against deadly swordsmen his clan sends to silence him. His samurai spirit is at its lowest ebb, his only solace a lovely female ninja, his paramour and potentially his deadly enemy. But as Edo witnesses the unfolding of the legendary vendetta of 47 Ronin, sworn to avenge Lord Asano against the treacherous Kira, Matahachiroâ€™s small role in their noble quest will revive his bushido ideals. Sword in hand, he will seek his own bloody justice!"
554600,Uri: The Surgical Strike,"['Action', 'Drama', 'War']",10.544,2019-01-11,hi,7.108,172,"Following the roguish terrorist attacks at Uri Army Base camp in Kashmir, India takes the fight to the enemy, in its most successful covert operation till date with one and only one objective of avenging their fallen heroes."
564147,K.G.F: Chapter 1,"['Action', 'Crime', 'Drama']",14.143,2018-12-20,kn,7.468,170,"A period drama set in the 1970s, KGF follows the story of a fierce rebel who rises against the brutal oppression in Kolar Gold Fields and becomes the symbol of hope to legions of downtrodden people."
992,Sherlock Jr.,"['Action', 'Comedy', 'Mystery']",10.051,1924-04-17,en,8.117,827,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
427008,Dag II,"['War', 'Drama']",8.658,2016-11-04,tr,7.487,153,"In a desolate war zone where screams of the innocent echo, on the very line between disaster and valor, 7 Maroon Berets will dance with death."
